date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:59:04	1768/1768	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-6e8%22	http://telegram.org/img/twitter_2x.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/twitter_2x.png	(from http://telegram.org/css/telegram.css?234)
19:59:05	1176/1176	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-498%22	http://telegram.org/img/breadcrumb_divider.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/breadcrumb_divider.png	(from http://telegram.org/css/telegram.css?234)
19:59:05	1279/1279	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-4ff%22	http://telegram.org/img/back_to_top.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/back_to_top.png	(from http://telegram.org/css/telegram.css?234)
19:59:06	1088/1088	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-440%22	http://telegram.org/img/tl_arrow_2x.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_arrow_2x.png	(from http://telegram.org/css/telegram.css?234)
19:59:07	15247/15247	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-3b8f%22	http://telegram.org/img/SiteAward_2x.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/SiteAward_2x.gif	(from http://telegram.org/css/telegram.css?234)
19:59:12	189734/189734	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-2e526%22	http://telegram.org/img/td_laptop.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/td_laptop.png	(from http://telegram.org/css/telegram.css?234)
19:59:17	59994/59994	---M--	200	added ('OK')	image/jpeg	etag:%225eb6fd6e-ea5a%22	http://telegram.org/img/SiteAndroid_2x.jpg?2	C:/My%20Web%20Sites/teleScript/telegram.org/img/SiteAndroid_2xc81e.jpg	(from http://telegram.org/css/telegram.css?234)
19:59:25	43842/43842	---M--	200	added ('OK')	image/jpeg	etag:%225cffb181-ab42%22	http://telegram.org/img/SiteTDesktop_2x.jpg?1	C:/My%20Web%20Sites/teleScript/telegram.org/img/SiteTDesktop_2xc4ca.jpg	(from http://telegram.org/css/telegram.css?234)
19:59:26	280/280	---M--	200	added ('OK')	image/png	etag:%225d5430a6-118%22	http://telegram.org/img/bullet_2x.png?3	C:/My%20Web%20Sites/teleScript/telegram.org/img/bullet_2xeccb.png	(from http://telegram.org/css/telegram.css?234)
19:59:26	88646/88646	---M--	200	added ('OK')	image/jpeg	etag:%225eb6fd6e-15a46%22	http://telegram.org/img/SiteiOS_2x.jpg?2	C:/My%20Web%20Sites/teleScript/telegram.org/img/SiteiOS_2xc81e.jpg	(from http://telegram.org/css/telegram.css?234)
19:59:26	1059/1059	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-423%22	http://telegram.org/img/tgme/Arrow_2x.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/tgme/Arrow_2x.png	(from http://telegram.org/css/telegram.css?234)
19:59:27	136309/136309	---M--	200	added ('OK')	image/jpeg	etag:%225cffb181-21475%22	http://telegram.org/img/SiteDesktop_2x.jpg?2	C:/My%20Web%20Sites/teleScript/telegram.org/img/SiteDesktop_2xc81e.jpg	(from http://telegram.org/css/telegram.css?234)
19:59:27	2794/2794	---M--	200	added ('OK')	image/png	etag:%225a3aa984-aea%22	http://telegram.org/img/tgme/web_icon_2x.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/tgme/web_icon_2x.png	(from http://telegram.org/css/telegram.css?234)
19:59:27	487/487	---M--	200	added ('OK')	image/png	etag:%225a3aa984-1e7%22	http://telegram.org/img/tgme/embed_copy_2x.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/tgme/embed_copy_2x.png	(from http://telegram.org/css/telegram.css?234)
19:59:28	2761/2761	---M--	200	added ('OK')	image/png	etag:%225c90f826-ac9%22	http://telegram.org/img/blog/BlogLogo2x.png?1	C:/My%20Web%20Sites/teleScript/telegram.org/img/blog/BlogLogo2xc4ca.png	(from http://telegram.org/css/telegram.css?234)
19:59:29	5088/5088	---M--	200	added ('OK')	image/png	etag:%225ad73458-13e0%22	http://telegram.org/img/rc_icons_2x.png?1	C:/My%20Web%20Sites/teleScript/telegram.org/img/rc_icons_2xc4ca.png	(from http://telegram.org/css/telegram.css?234)
19:59:31	4116/4116	---M--	200	added ('OK')	image/png	etag:%225c90f826-1014%22	http://telegram.org/img/blog/BlogLogo3x.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/blog/BlogLogo3x.png	(from http://telegram.org/css/telegram.css?234)
19:59:38	29874/29874	---M--	200	added ('OK')	image/jpeg	etag:%22ee4c5402452aa6d24333ecb465079c88a927aa42%22	https://cdn5.telegram-cdn.org/file/hNuB6KCeEOaBrlPZGxSb565WuACCQlzYFraOLuBKR5AjxCWq5IcZ2zg2bMrW_sHplaYKEJwfW5wPI6xaQSrAcgqYxY8yx5RwT6GLT1oLamH8IB-_WIrkGPXtBeFB8BhZqwBYcn6fjfzimAvD_SHDu5i0C2qw8c9o7pr7os_wJ-NzoFVSnRS91OLX50fMhQjQtDMhjQAs0CGqKD_5YALD2AXB3PauZuqtfRjG9JmKCL9gj9UHYM6_PqehHlGHIaUvN2fKj_zOpMeVlmpW_kahEjiSjjxMoo9qwnVyVTKM8G6t-MY8i6dSf90e6eRWqHqfxFzfxIBUORX5HxZ2HC434A.jpg	C:/My%20Web%20Sites/teleScript/cdn5.telegram-cdn.org/file/hNuB6KCeEOaBrlPZGxSb565WuACCQlzYFraOLuBKR5AjxCWq5IcZ2zg2bMrW_sHplaYKEJwfW5wPI6xaQSrAcgqYxY8yx5RwT6GLT1oLamH8IB-_WIrkGPXtBeFB8BhZqwBYcn6fjfzimAvD_SHDu5i0C2qw8c9o7pr7os_wJ-NzoFVSnRS91O	(from https://t.me/future_bull)
19:59:42	93855/93855	---M--	200	added ('OK')	image/jpeg	etag:%2260761719-16e9f%22	http://telegram.org/img/tdirect_2x.jpg?1	C:/My%20Web%20Sites/teleScript/telegram.org/img/tdirect_2xc4ca.jpg	(from http://telegram.org/css/telegram.css?234)
20:00:05	378093/378093	---M--	200	added ('OK')	image/png	etag:%225e44f3af-5c4ed%22	https://osx.telegram.org/updates/site/artboard_2x.png	C:/My%20Web%20Sites/teleScript/osx.telegram.org/updates/site/artboard_2x.png	(from http://telegram.org/css/telegram.css?234)
20:00:09	848511/848511	---M--	200	added ('OK')	image/png	etag:%225a184dcd-cf27f%22	http://telegram.org/img/team-sprite.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/team-sprite.png	(from http://telegram.org/css/telegram.css?234)
